"angle relative to rotation stage (degrees) (0 is max with no sample, 180 would block laser beam) - Plot 0"	Lock-in Signal Amplitude (V) - Plot 0
51.9999	0.000751141
51.7499	0.000752512
51.4999	0.000796381
51.2499	0.000802699
50.9999	0.000762168
50.7499	0.000708047
50.4999	0.000680033
50.2499	0.000661377
49.9999	0.000659171
49.7499	0.000643138
49.4999	0.000627045
49.2499	0.00061113
48.9999	0.000613872
48.7499	0.000609759
48.4999	0.00059754
48.2499	0.000572447
47.9999	0.000556473
47.7499	0.000531796
47.4999	0.000521842
47.2503	0.000532154
47.0002	0.00053877
46.7499	0.000526372
46.5005	0.000508193
46.251	0.000489417
46.0009	0.000475766
45.7499	0.000469388
45.4999	0.000464322
45.2499	0.000457289
44.9999	0.000445368
44.7499	0.00043291
44.4999	0.000425281
44.2499	0.000418188
43.9999	0.000402512
43.7499	0.000386717
43.4999	0.000382246
43.2499	0.000383856
42.9999	0.000376524
42.7499	0.000355603
42.5	0.000345411
42.25	0.000328483
42	0.000326993
41.75	0.000321867
41.5	0.000320675
41.25	0.000317397
41	0.000319125
40.75	0.000306608
40.5	0.000289978
40.25	0.00027621
40.0031	0.000267984
39.75	0.00026405
39.5	0.000265183
39.25	0.000254394
39.0001	0.000243128
38.75	0.000234247
38.5	0.000230373
38.25	0.000223936
38	0.000224055
37.75	0.000181318
37.5	1.70E-05
37.25	3.40E-06
37	1.19E-07
36.75	1.79E-07
36.5	1.19E-07
36.25	1.19E-07
36	1.19E-07
35.75	1.19E-07
35.5	1.19E-07
35.25	1.19E-07
35	0
35	1.79E-07
35	7.75E-07
149.999	0.000479402
149.749	0.000480713
149.499	0.000482025
149.249	0.000481846
148.999	0.000483634
148.749	0.000482323
148.499	0.000482442
148.249	0.00048125
147.999	0.000480594
147.749	0.00047964
147.499	0.000478568
147.249	0.000475587
146.999	0.000474038
146.749	0.000474216
146.499	0.000470461
146.249	0.000474038
145.999	0.000476005
145.749	0.000476243
145.499	0.000483574
145.249	0.000482025
144.999	0.000483694
144.749	0.000481727
144.499	0.000487151
144.249	0.000484588
143.999	0.000481071
143.749	0.000477316
143.499	0.000481071
143.249	0.000475945
142.999	0.000479104
142.749	0.00047976
142.5	0.000482501
142.249	0.000490014
141.999	0.000490133
141.749	0.000489119
141.499	0.000489596
141.249	0.000490192
140.999	0.0004921
140.749	0.000491325
140.499	0.000490431
140.249	0.000488224
139.999	0.000486555
139.749	0.000485303
139.499	0.000488702
139.249	0.00049055
138.999	0.00049508
138.749	0.000496928
138.499	0.000503901
138.249	0.000507358
137.999	0.000503842
137.749	0.000503186
137.5	0.000499789
137.249	0.000501636
136.999	0.000501279
136.749	0.000502769
136.499	0.000505034
136.249	0.000507358
135.999	0.000506345
135.749	0.000510816
135.499	0.000516001
135.249	0.000518505
134.999	0.000518266
134.749	0.000522379
134.499	0.000524525
134.249	0.000532512
133.999	0.000533227
133.749	0.0005343
133.5	0.000532214
133.251	0.000523154
132.999	0.000526074
132.749	0.00052673
132.499	0.00052822
132.249	0.000527266
131.999	0.000528816
131.749	0.00053424
131.499	0.000535194
131.249	0.000538293
130.999	0.000542048
130.749	0.000547294
130.499	0.00054938
130.249	0.000555579
129.999	0.000551526
129.749	0.000550393
129.499	0.000552718
129.249	0.000558261
129	0.000562314
128.749	0.000557963
128.5	0.000563148
128.25	0.000563089
128	0.00057048
127.75	0.00057042
127.5	0.000581387
127.25	0.000582639
127	0.000592057
126.75	0.000590626
126.5	0.00059152
126.25	0.000599865
126	0.000601713
125.75	0.000597659
125.5	0.000586752
125.25	0.000583354
125	0.000585679
124.75	0.000583056
124.5	0.00057948
124.25	0.00057495
124	0.000572685
123.75	0.000573281
123.5	0.000576142
123.25	0.000589851
123	0.000592593
122.75	0.00058699
122.5	0.000583414
122.25	0.000578348
122	0.000580493
121.75	0.000575308
121.5	0.000577036
121.25	0.000581328
121	0.000581924
120.75	0.000576679
120.5	0.000565115
120.25	0.000548963
120	0.000544194
119.75	0.000550393
119.5	0.000557963
119.25	0.000559215
119	0.000544731
118.75	0.000536148
118.5	0.000527266
118.25	0.000534479
118	0.000537816
117.75	0.000541691
117.5	0.000539664
117.25	0.000537161
117	0.000532035
116.75	0.000523392
116.501	0.000516478
116.25	0.000507776
116	0.000502471
115.75	0.000495259
115.5	0.000490133
115.25	0.000488702
115	0.000489894
114.75	0.000490252
114.5	0.000488164
114.25	0.000488164
114	0.000489119
113.75	0.000484051
113.5	0.000479819
113.25	0.000474336
113	0.000474336
112.75	0.000460269
112.5	0.000459315
112.25	0.000450971
112	0.000444951
111.75	0.000440003
111.5	0.000438632
111.25	0.000438811
111	0.000433626
110.75	0.000430467
110.5	0.000429573
110.25	0.000422956
110	0.000419857
109.75	0.000413479
109.5	0.000409188
109.25	0.000407102
109	0.000404419
108.75	0.000403466
108.5	0.000397803
108.25	0.000397505
108	0.000389876
107.75	0.000396432
107.5	0.000393691
107.25	0.000390531
107	0.000391426
106.75	0.000385465
106.5	0.000378193
106.25	0.000370624
106	0.000367286
105.75	0.000360431
105.5	0.000359954
105.25	0.000354828
105	0.000357511
104.75	0.000354649
104.5	0.00035453
104.25	0.000355901
104	0.000348987
103.75	0.000347616
103.5	0.000347855
103.25	0.00034106
103	0.00033951
102.75	0.000340344
102.5	0.000336768
102.25	0.000332
102	0.000329079
101.75	0.000324728
101.5	0.000328245
101.25	0.000325801
101	0.000323953
100.75	0.000322046
100.5	0.000318827
100.25	0.000318946
99.9997	0.000317218
99.7497	0.000314834
99.4997	0.000313343
99.2497	0.000306429
98.9997	0.000302674
98.7497	0.000299932
98.4997	0.000300588
98.2497	0.000296893
97.9997	0.000293674
97.7497	0.000291409
97.4997	0.000287475
97.2497	0.000290873
96.9997	0.000286462
96.7502	0.000284912
96.4997	0.000281097
96.2502	0.000280203
95.9998	0.000278952
95.7498	0.000284852
95.4998	0.00027913
95.2498	0.000274422
94.9998	0.000272991
94.7498	0.000270369
94.4998	0.000268342
94.2498	0.000269474
93.9998	0.000265004
93.7498	0.000260832
93.4998	0.000257673
93.2498	0.000255885
92.9998	0.000255229
92.7498	0.000254991
92.4998	0.000254096
92.2498	0.000254991
91.9998	0.000254931
91.7498	0.00025505
91.4998	0.000251295
91.2498	0.000248136
90.9998	0.000241102
90.7498	0.000236691
90.4998	0.000233353
90.2498	0.000234486
89.9998	0.000233949
89.7498	0.000233472
89.4998	0.000234307
89.2498	0.00023085
88.9998	0.000223638
88.7498	0.000221432
88.4998	0.000216604
88.2498	0.000210107
87.9998	0.000207723
87.7498	0.000205339
87.4998	0.000203968
87.2498	0.000207962
86.9998	0.000207067
86.7498	0.000206769
86.4999	0.000205637
86.2498	0.000204981
85.9998	0.000197531
85.7498	0.000199855
85.4998	0.000196279
85.2498	0.00019312
84.9998	0.000188113
84.7503	0.000185312
84.5005	0.000183643
84.2499	0.00018412
83.9999	0.000181676
